second,Volt
+14.8000E-06,-1.048E+00
+14.9000E-06,-3.016E+00
+15.0000E-06,-1.110E+00
+15.1000E-06,-2.813E+00
+15.2000E-06,-1.470E+00
+15.3000E-06,-3.110E+00
+15.4000E-06,-1.516E+00
+15.5000E-06,-2.735E+00
+15.6000E-06,-2.329E+00
+15.7000E-06,-3.032E+00
+15.8000E-06,-1.016E+00
+15.9000E-06,-2.579E+00
+16.0000E-06,-2.360E+00
+16.1000E-06,-2.673E+00
+16.2000E-06,-1.454E+00
+16.3000E-06,-2.095E+00
+16.4000E-06,-1.235E+00
+16.5000E-06,-1.829E+00
+16.6000E-06,-1.626E+00
+16.7000E-06,-1.813E+00
+16.8000E-06,-2.782E+00
+16.9000E-06,-1.423E+00
+17.0000E-06,-2.657E+00
+17.1000E-06,-1.766E+00
+17.2000E-06,-2.016E+00
+17.3000E-06,-1.282E+00
+17.4000E-06,-1.470E+00
+17.5000E-06,-1.391E+00
+17.6000E-06,-1.532E+00
+17.7000E-06,-1.329E+00
+17.8000E-06,-2.298E+00
+17.9000E-06,-2.251E+00
+18.0000E-06,-2.548E+00
+18.1000E-06,-1.641E+00
+18.2000E-06,-2.501E+00
+18.3000E-06,-1.485E+00
+18.4000E-06,-2.485E+00
+18.5000E-06,-1.470E+00
+18.6000E-06,-2.438E+00
+18.7000E-06,-1.563E+00
+18.8000E-06,-2.345E+00
+18.9000E-06,-1.657E+00
+19.0000E-06,-2.438E+00
+19.1000E-06,-1.657E+00
+19.2000E-06,-2.376E+00
+19.3000E-06,-1.595E+00
+19.4000E-06,-2.360E+00
+19.5000E-06,-1.782E+00
+19.6000E-06,-2.235E+00
+19.7000E-06,-1.657E+00
+19.8000E-06,-1.891E+00
+19.9000E-06,-2.095E+00
+20.0000E-06,-2.095E+00
+20.1000E-06,-2.079E+00
+20.2000E-06,-1.876E+00
+20.3000E-06,-2.141E+00
+20.4000E-06,-2.157E+00
+20.5000E-06,-2.204E+00
+20.6000E-06,-1.845E+00
+20.7000E-06,-1.954E+00
+20.8000E-06,-1.891E+00
+20.9000E-06,-2.032E+00
+21.0000E-06,-1.766E+00
+21.1000E-06,-2.204E+00
+21.2000E-06,-1.751E+00
+21.3000E-06,-2.001E+00
+21.4000E-06,-1.798E+00
+21.5000E-06,-2.204E+00
+21.6000E-06,-1.845E+00
+21.7000E-06,-2.157E+00
+21.8000E-06,-1.907E+00
+21.9000E-06,-2.157E+00
+22.0000E-06,-1.798E+00
+22.1000E-06,-2.095E+00
+22.2000E-06,-1.766E+00
+22.3000E-06,-2.173E+00
+22.4000E-06,-1.766E+00
+22.5000E-06,-2.126E+00
+22.6000E-06,-2.095E+00
+22.7000E-06,-2.376E+00
+22.8000E-06,-1.610E+00
+22.9000E-06,-1.688E+00
+23.0000E-06,-1.907E+00
+23.1000E-06,-2.438E+00
+23.2000E-06,-1.626E+00
+23.3000E-06,-2.188E+00
+23.4000E-06,-2.329E+00
+23.5000E-06,-2.173E+00
+23.6000E-06,-1.891E+00
+23.7000E-06,-1.798E+00
+23.8000E-06,-2.173E+00
+23.9000E-06,-2.048E+00
+24.0000E-06,-1.923E+00
+24.1000E-06,-2.048E+00
+24.2000E-06,-2.079E+00
+24.3000E-06,-1.985E+00
+24.4000E-06,-2.001E+00
+24.5000E-06,-1.954E+00
+24.6000E-06,-1.938E+00
+24.7000E-06,-2.001E+00
+24.8000E-06,-1.891E+00
+24.9000E-06,-2.110E+00
+25.0000E-06,-1.907E+00
+25.1000E-06,-2.110E+00
+25.2000E-06,-2.032E+00
+25.3000E-06,-2.063E+00
+25.4000E-06,-2.032E+00
+25.5000E-06,-2.016E+00
+25.6000E-06,-2.063E+00
+25.7000E-06,-2.001E+00
+25.8000E-06,-2.063E+00
+25.9000E-06,-1.923E+00
+26.0000E-06,-2.173E+00
+26.1000E-06,-1.860E+00
+26.2000E-06,-2.235E+00
+26.3000E-06,-2.001E+00
+26.4000E-06,-2.188E+00
+26.5000E-06,-1.782E+00
+26.6000E-06,-2.266E+00
+26.7000E-06,-1.798E+00
+26.8000E-06,-2.188E+00
+26.9000E-06,-1.735E+00
+27.0000E-06,-1.860E+00
